date,market_realized_vol
2018-02-12,0.015421776145731042
2018-02-14,0.015691458567301288
2018-02-15,0.015791879718862624
2018-02-16,0.015794639629942132
2018-02-20,0.015777550321851862
2018-02-21,0.015643423135103498
2018-02-22,0.01562903297561224
2018-02-23,0.016127440263957123
2018-02-26,0.01637884647251409
2018-02-27,0.016301269594425
2018-02-28,0.016391501158078595
2018-03-01,0.016463820009515524
2018-03-02,0.016533877299890087
2018-03-05,0.01678171183889567
2018-03-06,0.01618465531250704
2018-11-07,0.015992852471521334
2018-12-26,0.019132235378444537
2018-12-27,0.018854908748639456
2018-12-28,0.018802880839012714
2018-12-31,0.018035296624786437
2019-01-02,0.018069765600700075
2019-01-03,0.018388612454789857
2019-01-04,0.020068940842017616
2019-01-07,0.019146430246901838
2019-01-08,0.019332177156627228
2019-01-09,0.018738306433287197
2019-01-10,0.01876613747967915
2019-01-11,0.018766319167426916
2019-01-14,0.018740521921964928
2019-01-15,0.018916867372414384
2019-01-16,0.0184388330638608
2019-01-17,0.017835024425280323
2019-01-18,0.018000102977575632
2019-01-22,0.017940712310752272
2019-01-23,0.017447958114858695
2019-01-24,0.01657821712029711
2020-03-02,0.018781053543140747
2020-03-03,0.019325386455240574
2020-03-04,0.021638287334147886
2020-03-05,0.022388799777331877
2020-03-06,0.02228422191568224
2020-03-09,0.026985028894974443
2020-03-10,0.02984816037488825
2020-03-11,0.03105145334005523
2020-03-12,0.036142431014458284
2020-03-13,0.0428468678317174
2020-03-16,0.049066155623155895
2020-03-17,0.05164583588714532
2020-03-18,0.052294535151908045
2020-03-19,0.05229457361789875
2020-03-20,0.05259210208989627
2020-03-23,0.05264244361758362
2020-03-24,0.05779177512852984
2020-03-25,0.05783153892558272
2020-03-26,0.059923653685901704
2020-03-27,0.05963581454885261
2020-03-30,0.06024430441516977
2020-03-31,0.05918815485590018
2020-04-01,0.05957901925556823
2020-04-02,0.05891633341767088
2020-04-03,0.05865272167532799
2020-04-06,0.061000106926826135
2020-04-07,0.058692894442860175
2020-04-08,0.058141809183137216
2020-04-09,0.057147845082686916
2020-04-13,0.05273525978920413
2020-04-14,0.04926916964348911
2020-04-15,0.04094812958548483
2020-04-16,0.03918960793225474
2020-04-17,0.03713374623708012
2020-04-20,0.03759799873085876
2020-04-21,0.03682154123256912
2020-04-22,0.03586859574283664
2020-04-23,0.03052969979776067
2020-04-24,0.030552475825091536
2020-04-27,0.027878571002099655
2020-04-28,0.026582430129961334
2020-04-29,0.02626516874101216
2020-04-30,0.026024927338385934
2020-05-01,0.024676571590037884
2020-05-04,0.02440424571258064
2020-05-05,0.02392765133145909
2020-05-06,0.019182090052152066
2020-05-07,0.019225279881368355
2020-05-08,0.018221361873197107
2020-05-11,0.018044029173129972
2020-05-12,0.01854540723323197
2020-05-13,0.017792163334938108
2020-05-14,0.017239981160010114
2020-05-15,0.017220202563775027
2020-05-18,0.017596286500326047
2020-05-19,0.01726093201428532
2020-05-20,0.015840344339825504
2020-05-21,0.015422111422766858
2020-06-11,0.018519971825736507
